id;nome;idade;email;salario;data_admissao
1;Raquel Macedo;28;uaraujo@example.org;14879.93;2019-11-27
2;Dr. Paulo Jesus;52;cauesa@example.org;8482.37;2025-02-05
3;Isis Pimenta;41;luiz-otavio45@example.org;19490.39;2016-09-25
4;Alexia Dias;28;vicente98@example.com;18765.56;2015-12-24
5;Rael Andrade;28;albuquerquecatarina@example.net;15150.73;2017-04-26
6;Raquel Aragão;20;josedas-neves@example.net;6891.22;2024-11-04
7;Dr. Emanuel Vargas;19;camargomanuella@example.net;6761.11;2022-11-13
8;Benício Moreira;62;antonellanovaes@example.org;13289.5;2019-04-13
9;Srta. Ana Carolina Pinto;36;pietrada-conceicao@example.org;7063.45;2016-06-18
10;Murilo Vieira;32;antonella90@example.org;17217.79;2017-10-28
11;Dra. Bianca da Cunha;31;pribeiro@example.net;4106.3;2023-08-14
12;Gael Moraes;18;andre36@example.net;17345.83;2013-04-20
13;Kamilly Vargas;40;hcamargo@example.net;15883.71;2018-05-27
14;Raquel Moura;33;beniciosantos@example.com;19768.47;2021-01-26
15;João Cardoso;53;manuellapinto@example.net;7528.49;2019-11-02
16;Anthony Gabriel Ribeiro;34;teixeiraesther@example.net;19629.38;2012-02-26
17;Helena Camargo;50;anna-lizleao@example.org;5289.85;2022-01-05
18;Nathan Moura;55;britoana-beatriz@example.net;2255.83;2020-09-15
19;Luiz Felipe Alves;50;gabrielada-rosa@example.org;18184.2;2024-11-24
20;Eduarda Gomes;53;davi61@example.com;17488.9;2015-11-30
21;Caio da Cruz;57;umonteiro@example.net;8858.19;2014-05-12
22;Hellena Rocha;57;brayan29@example.org;19223.49;2020-10-15
23;Júlia Cardoso;51;hporto@example.org;14044.03;2014-03-07
24;Dr. Nicolas Aparecida;18;eda-rocha@example.com;5773.64;2023-05-30
25;Gael Henrique da Paz;33;maria-eduarda74@example.org;15229.63;2023-11-08
26;Alice Costa;42;luansa@example.net;12827.73;2012-03-07
27;Marina Guerra;36;goncalvesolivia@example.com;17204.22;2020-04-30
28;Alexia Sá;61;ucampos@example.net;7867.34;2023-06-25
29;Caio Pinto;64;moraesjoao-pedro@example.com;14299.83;2013-03-19
30;Isabela Borges;36;pachecosabrina@example.org;19903.36;2017-08-17
31;Ana Liz Vieira;53;garcianathan@example.org;2680.56;2024-01-11
32;Stella Siqueira;60;ceciliacassiano@example.com;8779.58;2016-07-14
33;Sra. Maria Vitória Melo;62;csampaio@example.com;16478.4;2016-04-05
34;Caio Brito;47;gomessarah@example.com;9303.97;2017-09-20
35;Sr. Enrico Vargas;37;ravi-luccasouza@example.com;18598.03;2021-04-10
36;Mateus Ribeiro;59;aragaojoao-lucas@example.net;10159.51;2019-03-25
37;Bryan Cirino;42;azevedotheodoro@example.com;5521.72;2016-05-23
38;Luiz Felipe Cavalcanti;59;allanacunha@example.org;2020.71;2017-07-22
39;João Guilherme Porto;34;martinsdavi@example.org;15694.81;2013-07-24
40;Caio Dias;27;wviana@example.net;12015.16;2019-03-09
41;Valentina Pimenta;61;paulo19@example.org;9470.93;2016-04-03
42;Lara Moura;39;emanuella15@example.net;7738.15;2023-03-02
43;André Câmara;45;ucardoso@example.net;5701.07;2020-08-11
44;Isabela Alves;62;giovanna21@example.net;19269.13;2016-02-21
45;Luiza Jesus;51;lunarios@example.org;17324.02;2022-07-26
46;Marcos Vinicius Peixoto;33;ana-juliada-rosa@example.org;19305.16;2014-03-11
47;Bernardo Melo;42;cirinosophia@example.com;12794.53;2013-05-04
48;José Miguel Cirino;41;ana-lauranunes@example.net;6522.95;2019-01-13
49;Helena Guerra;41;melinajesus@example.org;16651.44;2015-09-18
50;Samuel Castro;32;earaujo@example.org;5425.39;2014-05-31
51;Sr. Nicolas Moura;24;joaosouza@example.org;3652.53;2018-10-19
52;Dr. Bento Rocha;60;maria-helenaferreira@example.com;8132.25;2012-08-17
53;Liz Porto;34;maria-florgarcia@example.org;7987.11;2019-03-28
54;Davi Miguel Azevedo;22;lorenapinto@example.net;17921.99;2014-07-07
55;Nicolas da Paz;52;carolinegarcia@example.net;14982.64;2018-08-17
56;Larissa Nunes;29;mnovais@example.net;14912.71;2018-03-28
57;Dr. Liam Porto;29;arthur57@example.org;3950.28;2012-11-25
58;Aurora Casa Grande;24;cardosomaria-luiza@example.com;4540.06;2023-05-30
59;Dra. Maria Isis da Mata;23;sazevedo@example.net;12255.57;2018-08-13
60;Maria Luísa Campos;62;enzo-gabrielrios@example.com;18683.06;2020-10-06
61;Bruna Montenegro;65;alexia94@example.com;16882.37;2021-06-15
62;Srta. Giovanna Vargas;65;sophieferreira@example.com;19059.69;2015-12-17
63;Bella Sampaio;19;ana-clara33@example.org;9836.41;2015-12-08
64;Davi Luiz Rezende;24;leticiacastro@example.net;6645.82;2020-07-17
65;Luan Nascimento;54;fgoncalves@example.net;8990.88;2014-08-29
66;Bernardo Vieira;38;lucas-gabriel30@example.org;4139.09;2024-02-12
67;Pedro Lucas Fonseca;50;pcamargo@example.org;18888.69;2014-01-12
68;Enzo Melo;60;maria-isis42@example.org;2198.16;2017-01-02
69;Srta. Hadassa Novais;62;laviniarios@example.com;10754.98;2024-05-09
70;Benicio Montenegro;21;tteixeira@example.org;19721.28;2015-01-12
71;Bernardo Macedo;50;luiz-otavio26@example.com;2235.5;2020-05-02
72;Ana Mendonça;53;luanasampaio@example.org;15609.12;2023-09-26
73;Breno Lima;53;felipeda-conceicao@example.com;14825.0;2013-05-24
74;Sr. Cauê Freitas;46;gael-henriquevieira@example.net;16482.75;2020-03-01
75;João Silva;31;monteiroryan@example.org;13970.61;2023-02-21
76;Srta. Ágatha Rocha;35;mariavieira@example.org;11897.44;2012-11-24
77;Melissa Casa Grande;36;ifonseca@example.com;10556.5;2014-06-24
78;Alexandre da Conceição;21;maria-vitoria60@example.org;13193.41;2024-03-03
79;Lunna Pereira;65;fernando47@example.net;10609.49;2018-09-05
80;Maria Liz Sousa;45;sofiajesus@example.com;7592.17;2017-02-23
81;Nathan Nascimento;43;sofiaabreu@example.net;10100.84;2016-05-06
82;Maya Rodrigues;44;faraujo@example.org;12155.89;2017-01-03
83;Nina Barros;30;sfogaca@example.net;18151.61;2023-11-15
84;Fernanda da Mata;42;maria-isisfarias@example.com;4117.5;2023-07-04
85;Dr. Thiago Macedo;22;esther46@example.org;1931.83;2012-10-29
86;Nathan Gomes;58;nicolesilva@example.net;17233.98;2020-10-04
